사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Jul,1호선,1,서울역,768,12,9171,6464,12289,38755,34963,98112,62610,209685,43919,135380,41204,63222,49762,52250,59086,55247,62152,55981,53124,52450,69909,54821,77570,55285,135361,68194,208488,74048,101028,51353,67293,33647,66667,28332,48053,21637,17488,13089,22,1393,0,1,1,1,0,0
20-Jul,1호선,10,동묘앞,113,0,3425,884,3243,4204,6159,10561,8654,23815,7275,18401,9066,18062,13060,23077,18011,25299,23836,27591,26216,26039,28512,23186,29113,18669,27395,14313,24474,10813,12594,7177,6798,4480,5521,4153,3387,4470,1410,3577,8,1569,0,0,0,0,0,0
20-Jul,1호선,2,시청,32,3,1730,3815,3149,19122,6256,67381,7931,171683,8668,79023,10157,32030,14688,30330,15444,25634,19784,25225,24556,21619,31437,19159,37457,16486,70734,18481,138807,19206,51569,9667,39614,5143,40006,4649,27665,2993,9424,2077,2,99,0,1,0,0,0,0
20-Jul,1호선,3,종각,69,1,3493,4666,3555,28394,5573,111630,8989,261596,11444,148192,15709,61088,24791,51756,30584,46337,40764,48788,45777,40450,58087,34984,67469,35421,139604,41288,219949,54649,92916,29758,79810,11396,91449,7079,73950,4799,28554,3062,36,162,1,2,0,0,0,0
20-Jul,1호선,4,종로3가,174,27,4697,3114,3816,15112,5776,30798,8713,77732,11936,86338,22595,69188,33462,64203,43159,60716,52345,60602,52997,53012,59147,46177,65767,38808,75862,37070,107024,41360,64577,22886,48552,9467,55768,6582,46441,5106,16475,4327,34,772,4,4,0,1,0,0
20-Jul,1호선,5,종로5가,57,1,2026,4123,2758,16716,5045,41352,7956,115132,11200,67755,18440,51167,27242,48381,33172,46889,39677,43104,46372,41225,50790,37212,56143,31535,75831,28357,109008,27001,51341,16376,32522,6820,27363,4816,21620,3653,7606,2628,18,247,1,2,0,0,0,0
20-Jul,1호선,6,동대문,562,16,14394,2302,9547,7086,14555,12502,19761,25258,18114,23913,16516,23117,17809,25433,20669,24825,21707,23882,22759,22574,22911,21843,24767,19352,25453,20152,24896,20703,16744,21459,13608,14804,12656,11392,10850,11408,4544,11620,26,898,0,0,0,0,0,0
20-Jul,1호선,7,신설동,233,5,9543,2426,9091,8767,18512,27142,25590,67645,17305,37747,15261,21234,18983,18563,18874,18120,21077,19477,20718,17476,22561,18274,27394,19478,39962,22540,61818,28488,23916,19909,15296,12026,14337,11168,10229,10828,3611,8153,12,560,0,0,0,0,0,0
20-Jul,1호선,8,제기동,367,3,4843,2368,8533,8753,22309,19225,31057,42953,22467,38202,25793,37816,33309,40048,35553,36677,37089,37529,38862,39270,40428,36221,38178,29069,38531,25063,37998,27072,18531,18402,11384,11024,9463,9653,7437,9617,2659,6056,8,409,0,0,0,0,0,0
20-Jul,1호선,9,청량리(서울시립대입구),1508,20,11801,4749,15651,14707,42638,17670,50766,36831,33467,32792,31208,36798,36942,40380,38019,39030,39398,39338,40628,42378,42943,42042,46350,40497,45986,42147,43329,52671,25376,36632,19183,21303,13656,19171,9559,18310,3807,10877,46,1248,1,0,0,0,0,0
